Notes,County,Birth Weight,Death Rate
,"Middlesex County, MA",500 - 999 grams,257.14 (Unreliable)
Total,"Middlesex County, MA",,3.26
Total,"Norfolk County, MA",,2.72
,"Plymouth County, MA",500 - 999 grams,413.79 (Unreliable)
Total,"Plymouth County, MA",,3.89
,"Suffolk County, MA",500 - 999 grams,241.94 (Unreliable)
Total,"Suffolk County, MA",,4.69
,"Worcester County, MA",499 grams or less,1000.00 (Unreliable)
,"Worcester County, MA",500 - 999 grams,309.52 (Unreliable)
Total,"Worcester County, MA",,5.53
Total,"Unidentified Counties, MA",,3.26 (Unreliable)
,"Genesee County, MI",499 grams or less,875.00 (Unreliable)
,"Genesee County, MI",500 - 999 grams,285.71 (Unreliable)
Total,"Genesee County, MI",,9.55
Total,"Ingham County, MI",,6.74
,"Kent County, MI",499 grams or less,909.09
Total,"Kent County, MI",,6.13
,"Macomb County, MI",499 grams or less,789.47 (Unreliable)
,"Macomb County, MI",500 - 999 grams,194.03 (Unreliable)
Total,"Macomb County, MI",,5.31
,"Oakland County, MI",499 grams or less,793.1
,"Oakland County, MI",500 - 999 grams,178.08 (Unreliable)
Total,"Oakland County, MI",,5.49
Total,"Ottawa County, MI",,4.65 (Unreliable)
Total,"Washtenaw County, MI",,6.23
,"Wayne County, MI",499 grams or less,805.56
,"Wayne County, MI",500 - 999 grams,222.8
,"Wayne County, MI",1500 - 1999 grams,30.74 (Unreliable)
,"Wayne County, MI",2000 - 2499 grams,8.99 (Unreliable)
,"Wayne County, MI",2500 - 2999 grams,6.43
,"Wayne County, MI",3000 - 3499 grams,1.84 (Unreliable)
Total,"Wayne County, MI",,8.51
,"Unidentified Counties, MI",499 grams or less,960.78
,"Unidentified Counties, MI",500 - 999 grams,235.29
,"Unidentified Counties, MI",1000 - 1499 grams,48.00 (Unreliable)
,"Unidentified Counties, MI",1500 - 1999 grams,33.93
,"Unidentified Counties, MI",2000 - 2499 grams,11.57
,"Unidentified Counties, MI",2500 - 2999 grams,4.9
,"Unidentified Counties, MI",3000 - 3499 grams,2.32
,"Unidentified Counties, MI",3500 - 3999 grams,1.65 (Unreliable)
Total,"Unidentified Counties, MI",,5.91
Total,"Anoka County, MN",,4.74
Total,"Dakota County, MN",,3.78
,"Hennepin County, MN",499 grams or less,840
,"Hennepin County, MN",500 - 999 grams,261.9
,"Hennepin County, MN",2500 - 2999 grams,4.78 (Unreliable)
,"Hennepin County, MN",3000 - 3499 grams,1.79 (Unreliable)
Total,"Hennepin County, MN",,5.4
,"Ramsey County, MN",499 grams or less,904.76 (Unreliable)
Total,"Ramsey County, MN",,5.69
,"Unidentified Counties, MN",499 grams or less,930.23
,"Unidentified Counties, MN",500 - 999 grams,234.04
,"Unidentified Counties, MN",1000 - 1499 grams,52.36 (Unreliable)
,"Unidentified Counties, MN",1500 - 1999 grams,22.12 (Unreliable)
,"Unidentified Counties, MN",2000 - 2499 grams,8.75 (Unreliable)
,"Unidentified Counties, MN",2500 - 2999 grams,4.82
,"Unidentified Counties, MN",3000 - 3499 grams,2.28
,"Unidentified Counties, MN",3500 - 3999 grams,1.51 (Unreliable)
Total,"Unidentified Counties, MN",,5.14
,"Unidentified Counties, MS",499 grams or less,844.16
,"Unidentified Counties, MS",500 - 999 grams,256.8
,"Unidentified Counties, MS",1000 - 1499 grams,49.75
,"Unidentified Counties, MS",1500 - 1999 grams,23.53
,"Unidentified Counties, MS",2000 - 2499 grams,11.14
,"Unidentified Counties, MS",2500 - 2999 grams,5.05
,"Unidentified Counties, MS",3000 - 3499 grams,3.01
,"Unidentified Counties, MS",3500 - 3999 grams,2.31 (Unreliable)
Total,"Unidentified Counties, MS",,8.67
Total,"Greene County, MO",,6.71
,"Jackson County, MO",499 grams or less,695.65 (Unreliable)
,"Jackson County, MO",500 - 999 grams,238.10 (Unreliable)
Total,"Jackson County, MO",,6.7
Total,"St. Charles County, MO",,4.01 (Unreliable)
,"St. Louis County, MO",499 grams or less,793.1
,"St. Louis County, MO",500 - 999 grams,183.91 (Unreliable)
Total,"St. Louis County, MO",,6.24
,"St. Louis city, MO",499 grams or less,882.35 (Unreliable)
Total,"St. Louis city, MO",,8.11
,"Unidentified Counties, MO",499 grams or less,870.97
,"Unidentified Counties, MO",500 - 999 grams,267.05
,"Unidentified Counties, MO",1000 - 1499 grams,55.56 (Unreliable)
,"Unidentified Counties, MO",1500 - 1999 grams,34.38
,"Unidentified Counties, MO",2000 - 2499 grams,11.82
,"Unidentified Counties, MO",2500 - 2999 grams,6.24
,"Unidentified Counties, MO",3000 - 3499 grams,2.39
,"Unidentified Counties, MO",3500 - 3999 grams,1.8
Total,"Unidentified Counties, MO",,6.77
,"Unidentified Counties, MT",499 grams or less,1000.00 (Unreliable)
,"Unidentified Counties, MT",500 - 999 grams,294.12 (Unreliable)
,"Unidentified Counties, MT",3000 - 3499 grams,3.33 (Unreliable)
Total,"Unidentified Counties, MT",,5.78
,"Douglas County, NE",499 grams or less,888.89 (Unreliable)
,"Douglas County, NE",500 - 999 grams,363.64 (Unreliable)
Total,"Douglas County, NE",,7.02
Total,"Lancaster County, NE",,4.73 (Unreliable)
,"Unidentified Counties, NE",499 grams or less,769.23 (Unreliable)
,"Unidentified Counties, NE",500 - 999 grams,338.46
,"Unidentified Counties, NE",3000 - 3499 grams,2.28 (Unreliable)
Total,"Unidentified Counties, NE",,5.75
,"Clark County, NV",499 grams or less,800
,"Clark County, NV",500 - 999 grams,246.38
,"Clark County, NV",1000 - 1499 grams,68.29 (Unreliable)
,"Clark County, NV",1500 - 1999 grams,25.05 (Unreliable)
,"Clark County, NV",2000 - 2499 grams,9.27 (Unreliable)
,"Clark County, NV",2500 - 2999 grams,3.76
,"Clark County, NV",3000 - 3499 grams,2.52
Total,"Clark County, NV",,5.81
,"Washoe County, NV",500 - 999 grams,476.19 (Unreliable)
Total,"Washoe County, NV",,6.5
Total,"Unidentified Counties, NV",,4.30 (Unreliable)
Total,"Hillsborough County, NH",,3.07 (Unreliable)
Total,"Unidentified Counties, NH",,4.47
Total,"Atlantic County, NJ",,5.99 (Unreliable)
Total,"Bergen County, NJ",,2.01 (Unreliable)
,"Burlington County, NJ",499 grams or less,785.71 (Unreliable)
Total,"Burlington County, NJ",,4.75
,"Camden County, NJ",499 grams or less,923.08 (Unreliable)
,"Camden County, NJ",500 - 999 grams,196.08 (Unreliable)
Total,"Camden County, NJ",,6.91
,"Essex County, NJ",499 grams or less,857.14 (Unreliable)
,"Essex County, NJ",500 - 999 grams,195.65 (Unreliable)
Total,"Essex County, NJ",,5.27
Total,"Gloucester County, NJ",,5.64 (Unreliable)
