County,Education,Death Rate
"Pinellas County, FL",High school graduate or GED completed,8.28
"Pinellas County, FL","Some college credit, but not a degree",7
"Pinellas County, FL","Associate degree (AA, AS)",4.77
"Pinellas County, FL","Bachelor's degree (BA, AB, BS)",3.41
"Pinellas County, FL","Master's degree (MA, MS)",3.08
"Pinellas County, FL","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",6.92
"Pinellas County, FL",Unknown/Not on certificate,50.1
"Polk County, FL",8th grade or less,6.94
"Polk County, FL",9th through 12th grade with no diploma,7.55
"Polk County, FL",High school graduate or GED completed,8.85
"Polk County, FL","Some college credit, but not a degree",6.86
"Polk County, FL","Associate degree (AA, AS)",5.94
"Polk County, FL","Bachelor's degree (BA, AB, BS)",4.79
"Polk County, FL","Master's degree (MA, MS)",4.76
"Polk County, FL",Unknown/Not on certificate,115.38
"St. Lucie County, FL",9th through 12th grade with no diploma,9.3
"St. Lucie County, FL",High school graduate or GED completed,5.11
"St. Lucie County, FL","Some college credit, but not a degree",4.83
"Sarasota County, FL",9th through 12th grade with no diploma,7.65
"Sarasota County, FL",High school graduate or GED completed,5.13
"Sarasota County, FL","Some college credit, but not a degree",5.07
"Sarasota County, FL","Associate degree (AA, AS)",2.95
"Sarasota County, FL","Bachelor's degree (BA, AB, BS)",2.5
"Sarasota County, FL",Unknown/Not on certificate,25.52
"Seminole County, FL",9th through 12th grade with no diploma,10.71
"Seminole County, FL",High school graduate or GED completed,7.23
"Seminole County, FL","Some college credit, but not a degree",4.51
"Seminole County, FL","Associate degree (AA, AS)",3.57
